frame,n_gt,n_pred,n_pred_out_of_scope,TP_0.3,FP_0.3,FN_0.3,prec_0.3,rec_0.3,F1_0.3,FP_focused_0.3,prec_focused_0.3,F1_focused_0.3,TP_0.5,FP_0.5,FN_0.5,prec_0.5,rec_0.5,F1_0.5,FP_focused_0.5,prec_focused_0.5,F1_focused_0.5,TP_0.7,FP_0.7,FN_0.7,prec_0.7,rec_0.7,F1_0.7,FP_focused_0.7,prec_focused_0.7,F1_focused_0.7
0,6,5,0,5,0,1,1.0,0.833,0.909,0,1.0,0.909,5,0,1,1.0,0.833,0.909,0,1.0,0.909,5,0,1,1.0,0.833,0.909,0,1.0,0.909
10,6,7,1,5,2,1,0.714,0.833,0.769,1,0.833,0.833,5,2,1,0.714,0.833,0.769,1,0.833,0.833,5,2,1,0.714,0.833,0.769,1,0.833,0.833
20,7,7,1,5,2,2,0.714,0.714,0.714,1,0.833,0.769,5,2,2,0.714,0.714,0.714,1,0.833,0.769,5,2,2,0.714,0.714,0.714,1,0.833,0.769
30,7,7,1,5,2,2,0.714,0.714,0.714,1,0.833,0.769,5,2,2,0.714,0.714,0.714,1,0.833,0.769,5,2,2,0.714,0.714,0.714,1,0.833,0.769
40,6,7,1,5,2,1,0.714,0.833,0.769,1,0.833,0.833,5,2,1,0.714,0.833,0.769,1,0.833,0.833,5,2,1,0.714,0.833,0.769,1,0.833,0.833
50,6,6,0,5,1,1,0.833,0.833,0.833,1,0.833,0.833,5,1,1,0.833,0.833,0.833,1,0.833,0.833,5,1,1,0.833,0.833,0.833,1,0.833,0.833
60,6,6,0,6,0,0,1.0,1.0,1.0,0,1.0,1.0,6,0,0,1.0,1.0,1.0,0,1.0,1.0,5,1,1,0.833,0.833,0.833,1,0.833,0.833
70,7,6,0,5,1,2,0.833,0.714,0.769,1,0.833,0.769,5,1,2,0.833,0.714,0.769,1,0.833,0.769,5,1,2,0.833,0.714,0.769,1,0.833,0.769
80,6,5,0,5,0,1,1.0,0.833,0.909,0,1.0,0.909,4,1,2,0.8,0.667,0.727,1,0.8,0.727,4,1,2,0.8,0.667,0.727,1,0.8,0.727
90,6,5,0,5,0,1,1.0,0.833,0.909,0,1.0,0.909,4,1,2,0.8,0.667,0.727,1,0.8,0.727,4,1,2,0.8,0.667,0.727,1,0.8,0.727
